dataset_id,scientific_name,common_name,site_name,colony_name,lat_colony,lon_colony,device,bird_id,track_id,original_track_id,age,sex,breed_stage,breed_status,date_gmt,time_gmt,latitude,longitude,argos_quality,equinox
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5097229,82198,IGOT0665_2016,adult,male,post-guard,breeding,15/05/2009,06:03:00,-53.77678,-40.03534,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5097229,82198,IGOT0665_2016,adult,male,post-guard,breeding,13/05/2009,03:07:00,-53.25231,-54.31745,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5097229,82198,IGOT0665_2016,adult,male,post-guard,breeding,10/05/2009,20:48:00,-53.20239,-42.14438,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5097229,82198,IGOT0665_2016,adult,male,post-guard,breeding,09/05/2009,23:31:00,-53.6464,-40.9963,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5097229,82198,IGOT0665_2016,adult,male,post-guard,breeding,14/05/2009,20:11:00,-53.76038,-41.01416,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5098594,82200,IGOT0095_2012,adult,female,incubation,breeding,02/03/2012,13:07:00,-56.77702,-66.5643,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5098594,82200,IGOT0095_2012,adult,female,incubation,breeding,18/02/2012,02:46:00,-52.90698,-46.87194,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5098594,82200,IGOT0095_2012,adult,female,incubation,breeding,17/02/2012,13:30:00,-53.03904,-43.01698,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5098594,82200,IGOT0095_2012,adult,female,incubation,breeding,20/02/2012,16:58:00,-54.9916,-57.43435,NA,NA
1387,Leucocarbo bransfieldensis,Antarctic shag,Adelaide Island,Rothera,-67.56,-68.12,GPS,5098594,82200,IGOT0095_2012,adult,female,incubation,breeding,03/03/2012,10:11:00,-56.47006,-58.35205,NA,NA
